field,total_entries,n_filled,n_missing,pct_filled
title,115,115.0,0.0,100.0
genre,115,115.0,0.0,100.0
_paper_title,115,115.0,0.0,100.0
authors,115,111.0,4.0,96.52173913043478
year,115,107.0,8.0,93.04347826086956
url,115,107.0,8.0,93.04347826086956
publisher,115,91.0,24.0,79.13043478260869
journal,115,83.0,32.0,72.17391304347827
doi,115,83.0,32.0,72.17391304347827
abstract,115,79.0,36.0,68.69565217391305
pages,115,79.0,36.0,68.69565217391305
doi_url,115,73.0,42.0,63.47826086956522
is_retracted,115,73.0,42.0,63.47826086956522
bibtex,115,73.0,42.0,63.47826086956522
citation,115,73.0,42.0,63.47826086956522
formatted_citation,115,73.0,42.0,63.47826086956522
other.bibtex_source,115,73.0,42.0,63.47826086956522
source_quality,115,70.0,45.0,60.86956521739131
citation_count,115,70.0,45.0,60.86956521739131
other.client_source,115,70.0,45.0,60.86956521739131
link_attachments,115,68.0,47.0,59.130434782608695
other.externalIds.DOI,115,64.0,51.0,55.65217391304348
other.paperId,115,64.0,51.0,55.65217391304348
other.externalIds.CorpusId,115,64.0,51.0,55.65217391304348
other.citationCount,115,64.0,51.0,55.65217391304348
publication_date,115,62.0,53.0,53.91304347826087
other.oa_status,115,44.0,71.0,38.26086956521739
other.journal_is_oa,115,44.0,71.0,38.26086956521739
other.has_repository_copy,115,44.0,71.0,38.26086956521739
other.externalIds.DBLP,115,44.0,71.0,38.26086956521739
other.genre,115,44.0,71.0,38.26086956521739
other.is_paratext,115,44.0,71.0,38.26086956521739
other.is_oa,115,44.0,71.0,38.26086956521739
other.reference-count,115,43.0,72.0,37.391304347826086
other.indexed.date-time,115,43.0,72.0,37.391304347826086
other.indexed.timestamp,115,43.0,72.0,37.391304347826086
other.content-domain.crossmark-restriction,115,43.0,72.0,37.391304347826086
other.indexed.date-parts,115,43.0,72.0,37.391304347826086
other.references-count,115,43.0,72.0,37.391304347826086
other.URL,115,43.0,72.0,37.391304347826086
other.deposited.date-parts,115,43.0,72.0,37.391304347826086
other.deposited.date-time,115,43.0,72.0,37.391304347826086
