Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Publisher,Language,Rights,Library Catalog,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags
PRE9LEDD,preprint,2023,"Nguyen, Khai-Nguyen; Tang, Zixin; Mali, Ankur; Kelly, Alex",Like a bilingual baby: The advantage of visually grounding a bilingual language model,,,,,http://arxiv.org/abs/2210.05487,"Unlike most neural language models, humans learn language in a rich, multi-sensory and, often, multi-lingual environment. Current language models typically fail to fully capture the complexities of multilingual language use. We train an LSTM language model on images and captions in English and Spanish from MS-COCO-ES. We find that the visual grounding improves the model's understanding of semantic similarity both within and across languages and improves perplexity. However, we find no significant advantage of visual grounding for abstract words. Our results provide additional evidence of the advantages of visually grounded language models and point to the need for more naturalistic language data from multilingual speakers and multilingual datasets with perceptual grounding.",2/13/2023,4/11/2024 23:01,5/29/2025 10:01,4/11/2024 23:01,,,,,arXiv,,,arXiv.org,arXiv:2210.05487 [cs],,C:\Users\damru\Zotero\storage\BZZRRDKL\Nguyen et al. - 2023 - Like a bilingual baby The advantage of visually g.pdf; ; C:\Users\damru\Zotero\storage\HMFUV32P\2210.html; ,https://arxiv.org/pdf/2210.05487.pdf; https://arxiv.org/abs/2210.05487,,Computer Science - Computation and Language
3RX9MMPJ,preprint,2022,"Lin, Xi Victoria; Mihaylov, Todor; Artetxe, Mikel; Wang, Tianlu; Chen, Shuohui; Simig, Daniel; Ott, Myle; Goyal, Naman; Bhosale, Shruti; Du, Jingfei; Pasunuru, Ramakanth; Shleifer, Sam; Koura, Punit Singh; Chaudhary, Vishrav; O'Horo, Brian; Wang, Jeff; Zettlemoyer, Luke; Kozareva, Zornitsa; Diab, Mona; Stoyanov, Veselin; Li, Xian",Few-shot Learning with Multilingual Language Models,,,,10.48550/arXiv.2112.10668,http://arxiv.org/abs/2112.10668,"Large-scale generative language models such as GPT-3 are competitive few-shot learners. While these models are known to be able to jointly represent many different languages, their training data is dominated by English, potentially limiting their cross-lingual generalization. In this work, we train multilingual generative language models on a corpus covering a diverse set of languages, and study their few- and zero-shot learning capabilities in a wide range of tasks. Our largest model with 7.5 billion parameters sets new state of the art in few-shot learning in more than 20 representative languages, outperforming GPT-3 of comparable size in multilingual commonsense reasoning (with +7.4% absolute accuracy improvement in 0-shot settings and +9.4% in 4-shot settings) and natural language inference (+5.4% in each of 0-shot and 4-shot settings). On the FLORES-101 machine translation benchmark, our model outperforms GPT-3 on 171 out of 182 directions with 32 training examples, while surpassing the official supervised baseline in 45 directions. We conduct an in-depth analysis of different multilingual prompting approaches, showing in particular that strong few-shot learning performance across languages can be achieved via cross-lingual transfer through both templates and demonstration examples. Finally, we evaluate our models in social value tasks such as hate speech detection in five languages and find it has limitations similar to comparable sized GPT-3 models.",11/10/2022,4/11/2024 22:51,5/29/2025 10:02,4/11/2024 22:51,,,,,arXiv,,,arXiv.org,arXiv:2112.10668 [cs],,C:\Users\damru\Zotero\storage\3Q5X2Q4W\Lin et al. - 2022 - Few-shot Learning with Multilingual Language Model.pdf; ; C:\Users\damru\Zotero\storage\PN3B5K8N\2112.html; ,https://arxiv.org/pdf/2112.10668.pdf; https://arxiv.org/abs/2112.10668,,Computer Science - Artificial Intelligence; Computer Science - Computation and Language
2C9R4JYJ,journalArticle,2023,"Kwon, Yoohwan; Chung, Soo-Whan",MoLE : Mixture Of Language Experts For Multi-Lingual Automatic Speech Recognition,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,10.1109/ICASSP49357.2023.10096227,https://ieeexplore.ieee.org/document/10096227/,"Multi-lingual speech recognition aims to distinguish linguistic expressions in different languages and integrate acoustic processing simultaneously. In contrast, current multilingual speech recognition research follows a language-aware paradigm, mainly targeted to improve recognition performance rather than discriminate language characteristics. In this paper, we present a multi-lingual speech recognition network named Mixture-of-Language-Experts (MoLE), which digests speech in a variety of languages. Specifically, MoLE analyzes linguistic expression from input speech in arbitrary languages, activating a language-specific expert with a lightweight language gating network. The gating network not only activates experts, but also estimates the reliability of the activation. Based on the reliability, the activated expert and the language-agnostic expert are aggregated to represent language-conditioned embedding for efficient speech recognition. Our proposed model is evaluated in 5 languages scenario, and the experimental results show that our structure is advantageous on multi-lingual recognition, especially for speech in low-resource language.",6/4/2023,4/10/2024 16:07,5/29/2025 10:02,4/10/2024 16:07,5-Jan,,,,,,https://doi.org/10.15223/policy-029,Semantic Scholar,"Conference Name: ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) ISBN: 9781728163277 Place: Rhodes Island, Greece Publisher: IEEE",,; C:\Users\damru\Zotero\storage\9FJ3QM6Q\Kwon and Chung - 2023 - MoLE  Mixture Of Language Experts For Multi-Lingu.pdf; ,https://www.semanticscholar.org/paper/MoLE-%3A-Mixture-Of-Language-Experts-For-Automatic-Kwon-Chung/250373008e4441678006a6ba7dbb186449c7169f; https://arxiv.org/pdf/2302.13750,,
LQVN72SQ,bookSection,2020,"Gretter, Roberto; Matassoni, Marco; Falavigna, Giuseppe Daniele; Keelan, Evanini; Leong, Chee Wee",Overview of the interspeech tlt2020 shared task onasr for non-native children’s speech,Proceedings of Interspeech 2020,,,,https://cris.fbk.eu/handle/11582/324906,,2020,4/9/2024 4:39,5/29/2025 11:50,4/9/2024 4:39,245–249,,,,,,,Google Scholar,,,C:\Users\damru\Zotero\storage\LJ5M7A2T\Gretter et al. - 2020 - Overview of the interspeech tlt2020 shared task on.pdf; ,https://cris.fbk.eu/bitstream/11582/324906/1/is2020_challenge.pdf,,
9HZDXE5J,conferencePaper,2024,"Rolland, Thomas; Abad, Alberto",Improved Children’s Automatic Speech Recognition Combining Adapters and Synthetic Data Augmentation,"ICASSP 2024-2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,https://ieeexplore.ieee.org/abstract/document/10446889/,,2024,4/9/2024 4:39,5/29/2025 12:58,4/9/2024 4:39,12757–12761,,,,IEEE,,,Google Scholar,,,,,,
ZL52Q6PI,journalArticle,2022,"Cowan, Tiana; Paroby, Caroline; Leibold, Lori J.; Buss, Emily; Rodriguez, Barbara; Calandruccio, Lauren",Masked-Speech Recognition for Linguistically Diverse Populations: A Focused Review and Suggestions for the Future,"Journal of Speech, Language, and Hearing Research",,"1092-4388, 1558-9102",10.1044/2022_JSLHR-22-00011,http://pubs.asha.org/doi/10.1044/2022_JSLHR-22-00011,"Purpose:               Twenty years ago, von Hapsburg and Peña (2002) wrote a tutorial that reviewed the literature on speech audiometry and bilingualism and outlined valuable recommendations to increase the rigor of the evidence base. This review article returns to that seminal tutorial to reflect on how that advice was applied over the last 20 years and to provide updated recommendations for future inquiry.                                         Method:               We conducted a focused review of the literature on masked-speech recognition for bilingual children and adults. First, we evaluated how studies published since 2002 described bilingual participants. Second, we reviewed the literature on native language masked-speech recognition. Third, we discussed theoretically motivated experimental work. Fourth, we outlined how recent research in bilingual speech recognition can be used to improve clinical practice.                                         Results:               Research conducted since 2002 commonly describes bilingual samples in terms of their language status, competency, and history. Bilingualism was not consistently associated with poor masked-speech recognition. For example, bilinguals who were exposed to English prior to age 7 years and who were dominant in English performed comparably to monolinguals for masked-sentence recognition tasks. To the best of our knowledge, there are no data to document the masked-speech recognition ability of these bilinguals in their other language compared to a second monolingual group, which is an important next step. Nonetheless, individual factors that commonly vary within bilingual populations were associated with masked-speech recognition and included language dominance, competency, and age of acquisition. We identified methodological issues in sampling strategies that could, in part, be responsible for inconsistent findings between studies. For instance, disparities in socioeconomic status (SES) between recruited bilingual and monolingual groups could cause confounding bias within the research design.                                         Conclusions:               Dimensions of the bilingual linguistic profile should be considered in clinical practice to inform counseling and (re)habilitation strategies since susceptibility to masking is elevated in at least one language for most bilinguals. Future research should continue to report language status, competency, and history but should also report language stability and demand for use data. In addition, potential confounds (e.g., SES, educational attainment) when making group comparisons between monolinguals and bilinguals must be considered.",8/17/2022,4/9/2024 4:39,5/29/2025 11:52,4/9/2024 4:39,3195-3216,8,65,J Speech Lang Hear Res,,en,,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\2FXLTBTJ\PMC9911100.html; ; C:\Users\damru\Zotero\storage\AYEQLKJT\Cowan et al. - 2022 - Masked-Speech Recognition for Linguistically Diver.pdf; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9911100/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9911100/pdf/JSLHR-65-3195.pdf,,
9MLEL7L4,conferencePaper,2020,"Bhardwaj, Vivek; Bala, Sashi; Kadyan, Virender; Kukreja, Vinay",Development of robust automatic speech recognition system for children's using kaldi toolkit,2020 Second International Conference on Inventive Research in Computing Applications (ICIRCA),,,,https://ieeexplore.ieee.org/abstract/document/9182941/,,2020,4/9/2024 4:37,5/29/2025 12:59,4/9/2024 4:37,10–13,,,,IEEE,,,Google Scholar,,,C:\Users\damru\Zotero\storage\6UAVEQS7\Bhardwaj et al. - 2020 - Development of robust automatic speech recognition.pdf; ,https://www.researchgate.net/profile/Vivek-Bhardwaj-4/publication/344056935_Development_of_Robust_Automatic_Speech_Recognition_System_for_Children%27s_using_Kaldi_Toolkit/links/5fc4f5f7458515b7978abb2f/Development-of-Robust-Automatic-Speech-Recognition-System-for-Childrens-using-Kaldi-Toolkit.pdf,,
5RSK48Y3,conferencePaper,2021,"Gretter, Roberto; Matassoni, Marco; Falavigna, Daniele; Misra, A.; Leong, Chee Wee; Knill, Katherine; Wang, Linlin",Etlt 2021: Shared task on automatic speech recognition for non-native children’s speech,,,,,https://www.repository.cam.ac.uk/items/ad96db23-a702-4568-88ae-972fc5dc1af9,,2021,4/9/2024 4:37,5/29/2025 11:50,4/9/2024 4:37,,,,,ISCA,,,Google Scholar,,,C:\Users\damru\Zotero\storage\AMM4MMCJ\Gretter et al. - 2021 - Etlt 2021 Shared task on automatic speech recogni.pdf; ,https://www.repository.cam.ac.uk/bitstreams/10893a3e-0b58-4597-81bd-4552e190c98d/download,,
9S9WFXRS,conferencePaper,2021,"Li, Xinjian; Mortensen, David R.; Metze, Florian; Black, Alan W.",Multilingual phonetic dataset for low resource speech recognition,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,https://ieeexplore.ieee.org/abstract/document/9413720/,,2021,4/9/2024 4:35,5/29/2025 10:02,4/9/2024 4:35,6958–6962,,,,IEEE,,,Google Scholar,,,C:\Users\damru\Zotero\storage\N9DLCDJY\Li et al. - 2021 - Multilingual phonetic dataset for low resource spe.pdf; ,https://www.cs.cmu.edu/~awb/papers/ICASSP21_Multilingual_Phonetic_Dataset.pdf,,
SGX72PWR,preprint,2020,"Madhumani, Gurunath Reddy; Shah, Sanket; Abraham, Basil; Joshi, Vikas; Sitaram, Sunayana",Learning not to Discriminate: Task Agnostic Learning for Improving Monolingual and Code-switched Speech Recognition,,,,,http://arxiv.org/abs/2006.05257,"Recognizing code-switched speech is challenging for Automatic Speech Recognition (ASR) for a variety of reasons, including the lack of code-switched training data. Recently, we showed that monolingual ASR systems fine-tuned on code-switched data deteriorate in performance on monolingual speech recognition, which is not desirable as ASR systems deployed in multilingual scenarios should recognize both monolingual and code-switched speech with high accuracy. Our experiments indicated that this loss in performance could be mitigated by using certain strategies for fine-tuning and regularization, leading to improvements in both monolingual and code-switched ASR. In this work, we present further improvements over our previous work by using domain adversarial learning to train task agnostic models. We evaluate the classification accuracy of an adversarial discriminator and show that it can learn shared layer parameters that are task agnostic. We train end-to-end ASR systems starting with a pooled model that uses monolingual and code-switched data along with the adversarial discriminator. Our proposed technique leads to reductions in Word Error Rates (WER) in monolingual and code-switched test sets across three language pairs.",6/9/2020,4/9/2024 4:34,4/9/2024 4:34,4/9/2024 4:33,,,,,arXiv,,,arXiv.org,"arXiv:2006.05257 [cs, eess]",,C:\Users\damru\Zotero\storage\KF7FDKZJ\Madhumani et al. - 2020 - Learning not to Discriminate Task Agnostic Learni.pdf; C:\Users\damru\Zotero\storage\WEKSNXD7\2006.html,,,Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing; Computer Science - Computation and Language
